onset	duration	PleasantSelf	Anger	Eyebrows	Satisfaction	Pride	trial
16	5	50.0	25.5	51.0	45.5	49.5	clip_1
48	8	50.0	51.5	51.5	51.5	51.5	clip_2
68	4	16.0	21.0	51.5	51.0	47.5	clip_3
94	7	61.0	36.5	36.5	50.5	50.5	clip_4
116	4	33.5	29.5	67.0	50.5	50.5	clip_5
165	7	47.5	32.0	52.0	52.0	52.0	clip_6
196	6	50.0	35.0	50.5	51.5	51.5	clip_7
232	10	48.0	30.0	30.0	55.0	50.5	clip_8
285	5	38.5	27.0	49.5	51.5	48.5	clip_9
307	7	23.5	23.5	66.0	29.0	49.5	clip_10
355	10	19.5	19.5	53.0	49.0	49.5	clip_11
384	9	17.5	14.0	67.0	49.5	49.5	clip_12
