onset	duration	PleasantSelf	Anger	Eyebrows	Satisfaction	Pride	trial
15	9	74.5	49.5	47.5	67.5	48.5	clip_1
35	5	73.0	48.5	35.0	68.0	49.5	clip_2
63	6	60.5	50.5	38.5	64.0	49.5	clip_3
116	7	60.0	49.0	49.0	60.5	49.0	clip_4
162	8	62.5	49.0	37.0	61.5	50.0	clip_5
185	7	64.5	50.0	36.5	36.5	49.5	clip_6
203	5	62.0	50.0	52.5	52.5	52.5	clip_7
248	7	58.5	48.0	36.5	69.5	67.5	clip_8
286	8	60.5	48.5	35.0	51.5	51.5	clip_9
333	7	60.0	48.5	38.5	51.0	51.0	clip_10
360	7	66.5	51.5	51.5	63.5	48.0	clip_11
383	7	58.0	49.5	61.5	47.5	61.0	clip_12
412	6	40.0	50.5	50.5	54.5	50.5	clip_13
470	9	45.5	45.5	65.0	48.5	48.5	clip_14
517	6	50.0	57.0	60.5	49.0	49.0	clip_15
543	7	50.0	38.0	67.0	50.5	50.5	clip_16
584	8	47.0	52.5	52.5	52.5	52.5	clip_17
627	6	58.0	49.0	66.0	52.0	52.0	clip_18
648	6	50.0	39.5	50.5	60.0	49.5	clip_19
694	7	36.5	36.5	66.5	51.0	60.0	clip_20
743	8	67.5	34.5	28.5	80.0	50.0	clip_21
785	7	75.5	49.0	34.0	71.5	80.5	clip_22
801	6	71.0	18.0	30.5	85.0	89.0	clip_23
