onset	duration	PleasantSelf	Anger	Eyebrows	Satisfaction	Pride	trial
2	6	50.0	34.5	29.5	50.0	50.0	clip_1
23	5	50.0	41.5	38.5	51.5	51.5	clip_2
66	6	50.0	50.0	38.5	50.0	50.0	clip_3
85	7	51.5	51.5	39.0	52.5	52.5	clip_4
106	6	52.5	49.0	35.0	49.5	52.5	clip_5
124	6	44.0	50.0	43.5	51.0	51.0	clip_6
148	6	60.5	51.0	39.5	50.0	50.0	clip_7
170	10	47.0	28.5	53.0	64.0	51.0	clip_8
195	10	45.5	27.0	53.0	53.0	51.0	clip_9
238	8	49.5	27.0	53.5	50.5	50.5	clip_10
264	8	50.5	5.5	53.5	53.5	53.5	clip_11
294	9	50.0	23.0	52.5	54.5	51.0	clip_12
335	8	51.0	48.5	25.0	50.0	50.0	clip_13
359	5	50.0	26.0	50.5	50.5	50.5	clip_14
395	6	50.0	50.0	37.0	50.5	50.5	clip_15
