onset	duration	PleasantSelf	Anger	Eyebrows	Satisfaction	Pride	trial
15	6	50.0	11.5	50.5	50.0	50.0	clip_1
38	6	50.0	27.5	27.5	68.5	49.0	clip_2
94	5	68.0	49.0	32.5	50.5	51.0	clip_3
160	8	33.5	17.0	53.0	51.5	51.5	clip_4
190	6	67.0	18.0	20.5	74.0	77.0	clip_5
225	7	50.0	23.0	23.0	72.5	52.0	clip_6
265	7	46.0	24.5	52.5	68.5	50.5	clip_7
298	7	23.5	21.5	68.0	48.5	48.5	clip_8
371	7	33.0	24.5	50.5	70.0	70.0	clip_9
420	5	27.0	22.5	51.5	38.5	53.0	clip_10
452	6	42.0	50.5	34.5	49.5	49.5	clip_11
510	6	46.5	34.0	51.0	52.5	52.5	clip_12
536	6	32.5	25.5	62.5	49.0	49.0	clip_13
575	7	46.0	29.5	52.0	40.0	49.0	clip_14
593	7	10.0	10.0	76.0	49.0	49.0	clip_15
633	7	10.0	13.0	50.0	50.0	50.0	clip_16
663	7	23.5	16.5	49.0	45.0	45.0	clip_17
706	7	39.5	16.0	16.0	50.0	47.5	clip_18
