onset	duration	PleasantSelf	Anger	Eyebrows	Satisfaction	Pride	trial
6	5	56.5	27.0	39.0	78.5	49.0	clip_1
29	5	72.0	34.0	48.0	62.0	52.5	clip_2
60	6	54.0	38.0	47.5	70.0	46.5	clip_3
82	7	74.0	31.5	50.0	68.5	48.5	clip_4
113	6	50.0	50.0	60.5	62.5	45.5	clip_5
134	6	50.0	50.0	53.5	53.5	49.5	clip_6
166	9	47.5	47.5	49.5	49.5	49.5	clip_7
196	8	41.0	34.0	34.0	51.5	51.5	clip_8
239	8	35.0	32.0	32.0	74.0	28.5	clip_9
267	9	47.0	38.5	47.5	55.0	20.0	clip_10
307	10	36.0	50.5	60.5	60.5	20.5	clip_11
352	8	50.0	50.0	60.5	48.0	37.0	clip_12
392	6	34.0	34.0	34.0	50.5	8.0	clip_13
405	7	23.5	65.5	44.5	54.5	15.0	clip_14
443	8	28.0	28.0	46.0	36.0	19.5	clip_15
507	9	50.0	50.0	50.0	57.0	60.0	clip_16
532	7	33.0	50.0	50.0	49.0	45.0	clip_17
570	7	38.0	34.5	46.5	41.0	29.5	clip_18
598	9	45.0	45.0	45.0	45.0	45.0	clip_19
645	8	50.0	50.0	50.0	50.0	50.0	clip_20
674	5	37.5	32.5	44.0	44.0	44.0	clip_21
707	9	33.5	33.5	47.5	41.0	29.5	clip_22
740	7	32.0	55.5	58.5	40.5	34.0	clip_23
776	10	2.0	75.0	71.5	23.5	9.0	clip_24
803	5	9.0	9.0	52.0	30.0	6.5	clip_25
829	7	11.0	37.5	37.5	25.5	22.0	clip_26
864	6	9.5	59.5	49.5	32.5	63.0	clip_27
910	8	5.5	5.5	51.0	16.0	35.0	clip_28
955	10	7.0	7.0	46.5	9.0	47.5	clip_29
972	7	5.5	93.5	45.0	8.5	8.5	clip_30
986	6	7.0	7.0	52.0	4.5	48.5	clip_31
