onset	duration	PleasantSelf	Anger	Eyebrows	Satisfaction	Pride	trial
8	4	50.0	10.5	61.0	50.0	46.5	clip_1
51	8	51.0	51.0	60.5	49.0	49.0	clip_2
80	6	46.0	46.0	46.0	46.0	46.0	clip_3
108	6	50.0	50.0	56.5	46.5	46.5	clip_4
156	3	45.5	45.5	45.5	45.5	45.5	clip_5
209	5	50.0	50.0	50.0	50.0	50.0	clip_6
228	7	35.0	49.5	60.0	47.5	40.0	clip_7
252	6	40.5	48.5	48.5	48.5	36.0	clip_8
288	6	51.0	39.0	43.5	43.5	43.5	clip_9
330	6	45.5	47.5	47.5	47.5	47.5	clip_10
355	8	50.0	50.0	50.0	50.0	43.0	clip_11
390	6	50.0	50.0	50.0	50.0	50.0	clip_12
440	8	41.5	50.0	60.0	40.5	36.5	clip_13
468	9	35.5	49.5	61.5	49.0	38.5	clip_14
501	6	40.5	50.5	61.5	51.0	43.0	clip_15
543	6	49.0	49.0	49.0	45.0	51.0	clip_16
569	8	45.5	45.5	45.5	46.0	46.0	clip_17
611	8	47.5	47.5	47.5	47.5	46.5	clip_18
645	8	50.0	47.0	47.0	47.0	47.0	clip_19
675	8	56.5	49.5	49.5	56.0	51.0	clip_20
719	6	57.0	48.0	48.0	48.0	48.0	clip_21
762	8	62.0	47.5	35.5	65.0	75.0	clip_22
790	5	59.5	47.0	34.5	65.0	68.0	clip_23
