onset	duration	PleasantSelf	Anger	Eyebrows	Satisfaction	Pride	trial
4	5	70.5	22.0	50.5	50.0	50.0	clip_1
44	6	27.5	49.5	68.5	49.5	50.0	clip_2
71	6	50.0	35.0	52.0	52.0	49.0	clip_3
118	8	47.0	47.0	47.0	47.0	47.0	clip_4
142	7	63.0	49.5	40.5	47.0	47.0	clip_5
168	5	63.0	50.0	40.5	62.5	50.0	clip_6
201	8	65.0	51.0	40.0	57.5	62.0	clip_7
232	6	60.0	39.5	38.5	64.5	51.0	clip_8
267	8	63.5	48.5	40.0	67.0	50.0	clip_9
308	7	63.5	38.5	52.0	63.0	50.5	clip_10
341	10	62.0	36.5	67.0	53.5	53.5	clip_11
404	9	57.0	49.0	49.5	59.0	49.0	clip_12
440	8	50.0	42.0	50.0	45.5	38.0	clip_13
473	7	65.0	38.5	38.5	59.5	48.0	clip_14
510	9	69.0	38.5	73.0	71.0	49.5	clip_15
547	4	57.5	37.5	51.0	51.0	51.0	clip_16
596	9	33.5	33.5	64.5	31.5	42.0	clip_17
638	6	34.0	57.5	71.5	28.5	28.5	clip_18
662	5	29.0	62.5	70.0	27.0	30.5	clip_19
690	8	27.0	73.5	65.5	23.0	23.0	clip_20
720	7	29.5	23.5	51.5	29.5	32.5	clip_21
750	8	45.0	34.0	34.0	34.0	29.0	clip_22
777	5	22.5	22.5	52.0	30.0	50.5	clip_23
799	5	61.5	18.0	46.0	53.5	50.0	clip_24
