onset	duration	PleasantSelf	Anger	Eyebrows	Satisfaction	Pride	trial
3	7	39.5	33.5	33.5	69.0	49.5	clip_1
44	7	50.0	50.0	50.0	61.5	49.5	clip_2
76	5	52.5	52.5	48.0	48.0	48.0	clip_3
95	8	55.5	48.5	48.5	48.5	48.5	clip_4
139	8	50.0	36.5	36.5	53.5	53.5	clip_5
193	9	48.0	48.0	49.5	49.5	49.5	clip_6
230	7	46.5	40.5	40.5	60.5	52.5	clip_7
270	10	41.5	45.0	45.0	53.5	50.5	clip_8
316	9	46.5	46.5	49.0	49.0	49.0	clip_9
360	8	41.0	48.0	57.0	58.5	49.5	clip_10
420	10	48.0	45.0	49.0	61.5	51.0	clip_11
466	8	56.0	47.5	47.5	47.5	47.5	clip_12
493	8	50.0	50.0	58.5	70.5	49.0	clip_13
525	9	57.0	41.5	49.0	58.5	51.0	clip_14
559	5	50.0	39.5	51.0	48.5	48.5	clip_15
576	8	62.5	50.5	66.0	66.0	50.0	clip_16
590	4	41.5	48.5	50.0	50.0	50.0	clip_17
628	8	50.0	39.0	52.5	49.0	49.0	clip_18
653	5	50.0	40.5	37.5	63.0	49.5	clip_19
670	6	41.0	50.5	64.0	47.5	48.5	clip_20
689	3	66.5	47.0	58.5	58.5	50.5	clip_21
721	6	61.5	47.0	47.0	83.5	49.5	clip_22
737	5	42.0	48.5	48.5	62.0	49.5	clip_23
766	8	50.0	48.5	50.5	50.5	50.5	clip_24
