onset	duration	PleasantSelf	Anger	Eyebrows	Satisfaction	Pride	trial
9	4	66.5	18.0	18.0	73.5	72.0	clip_1
37	8	61.0	47.0	64.5	77.5	30.5	clip_2
58	4	82.0	19.0	24.5	24.5	45.0	clip_3
80	4	75.0	23.5	23.5	61.0	60.5	clip_4
104	10	63.0	35.0	49.0	79.5	41.0	clip_5
134	7	64.0	50.5	50.5	68.5	50.0	clip_6
155	5	49.5	49.5	66.0	76.0	48.5	clip_7
188	6	66.5	52.0	68.5	72.0	72.0	clip_8
209	8	52.0	50.0	66.5	83.0	83.0	clip_9
237	8	50.5	50.5	65.5	65.5	51.5	clip_10
279	9	47.5	47.5	71.0	71.0	49.0	clip_11
307	5	50.0	50.0	64.0	74.5	52.0	clip_12
358	6	68.5	44.0	50.0	73.5	76.0	clip_13
374	9	51.0	51.0	65.5	65.5	51.5	clip_14
395	9	79.5	23.5	35.5	79.5	64.0	clip_15
432	8	80.5	24.5	52.5	81.5	51.5	clip_16
488	5	71.5	47.5	50.0	79.0	50.0	clip_17
512	8	52.5	24.5	53.5	74.5	74.0	clip_18
535	5	71.5	51.0	39.5	74.5	51.0	clip_19
576	6	73.0	51.0	30.0	50.0	52.0	clip_20
