onset	duration	PleasantSelf	Anger	Eyebrows	Satisfaction	Pride	trial
19	5	50.0	40.5	67.0	49.5	49.5	clip_1
60	6	50.0	33.5	23.5	71.0	69.0	clip_2
95	5	26.5	48.5	35.5	62.0	24.5	clip_3
131	5	64.0	23.0	50.5	50.5	50.5	clip_4
147	6	47.5	30.0	50.5	50.5	50.5	clip_5
176	6	65.5	28.0	28.5	52.0	52.0	clip_6
210	5	24.0	76.0	61.0	35.5	36.0	clip_7
233	5	48.5	66.5	50.0	35.0	30.0	clip_8
255	7	29.5	29.5	51.5	42.0	39.0	clip_9
286	6	27.5	18.5	48.5	52.5	41.5	clip_10
343	5	31.5	31.5	66.5	37.5	33.0	clip_11
385	8	28.5	67.5	65.5	50.5	33.0	clip_12
412	8	13.0	33.5	82.5	19.5	31.5	clip_13
465	7	27.5	23.5	47.0	64.5	70.5	clip_14
518	6	59.5	26.5	47.5	62.5	49.5	clip_15
555	5	45.5	32.0	50.5	70.5	49.5	clip_16
594	7	68.0	24.0	28.5	66.5	49.5	clip_17
611	7	77.0	11.5	20.5	84.0	55.0	clip_18
633	7	71.5	51.5	79.5	79.5	50.5	clip_19
666	4	32.0	27.5	50.0	34.5	49.5	clip_20
701	9	38.0	26.0	66.5	49.5	45.5	clip_21
740	8	31.5	37.0	66.0	52.0	52.0	clip_22
778	9	21.0	15.0	49.5	10.5	52.0	clip_23
799	7	28.0	49.0	26.5	50.0	50.0	clip_24
839	5	20.5	11.5	51.0	8.5	49.5	clip_25
894	6	10.0	6.5	50.5	12.5	48.5	clip_26
962	7	0.5	0.0	51.5	0.5	67.5	clip_27
1002	8	0.0	0.0	51.5	0.0	96.0	clip_28
1022	5	0.0	0.0	52.0	0.0	51.5	clip_29
