onset	duration	PleasantSelf	Anger	Eyebrows	Satisfaction	Pride	trial
27	7	41.5	41.5	72.0	51.0	51.0	clip_1
55	6	50.0	50.0	59.0	51.0	51.0	clip_2
80	8	51.5	51.5	61.0	49.0	49.0	clip_3
103	6	23.0	49.5	61.5	49.5	49.5	clip_4
135	8	32.5	47.5	50.0	50.0	50.0	clip_5
184	6	27.5	51.0	51.0	49.5	50.5	clip_6
224	8	27.5	33.0	50.0	46.0	50.5	clip_7
251	10	25.0	48.5	65.5	47.0	47.0	clip_8
282	8	41.5	49.0	36.0	32.0	50.0	clip_9
316	5	50.0	50.5	62.0	51.5	51.5	clip_10
354	8	34.0	30.0	51.0	47.5	47.5	clip_11
372	6	31.5	49.0	59.5	50.5	50.0	clip_12
405	5	23.5	50.5	66.5	49.0	49.0	clip_13
442	7	44.0	49.5	49.5	49.5	49.5	clip_14
485	5	32.0	30.0	53.5	48.0	51.0	clip_15
