onset	duration	PleasantSelf	Anger	Eyebrows	Satisfaction	Pride	trial
1	5	36.0	50.5	50.5	42.5	50.0	clip_1
26	5	30.0	50.0	50.0	50.0	50.0	clip_2
51	6	58.0	34.0	38.5	50.0	50.0	clip_3
65	6	65.0	27.5	49.0	65.5	51.5	clip_4
99	9	39.5	51.5	35.5	50.5	50.5	clip_5
132	8	32.0	33.5	30.0	51.5	36.0	clip_6
210	8	47.5	31.0	34.0	51.0	51.0	clip_7
240	9	32.0	51.0	51.0	43.0	50.5	clip_8
263	5	29.5	49.5	61.5	51.5	51.0	clip_9
296	9	50.0	39.5	55.0	43.5	51.5	clip_10
328	6	48.0	36.0	52.5	52.5	52.5	clip_11
376	8	35.0	31.5	73.0	49.0	39.0	clip_12
393	11	34.5	35.0	51.0	37.5	51.0	clip_13
422	9	26.0	70.5	69.5	51.0	38.5	clip_14
466	5	27.0	31.0	68.5	36.0	31.5	clip_15
535	8	28.0	32.5	71.5	48.0	45.5	clip_16
551	8	27.5	74.0	70.5	34.5	51.5	clip_17
574	6	48.0	27.5	51.5	35.5	53.5	clip_18
599	7	28.0	23.0	69.0	72.0	54.5	clip_19
641	8	63.0	27.5	50.0	39.0	65.0	clip_20
